단어,빈도수
해당,48
초반,48
송금,48
없어,48
핵잠수함,48
대구경북,48
의료,48
거덜,48
장담,48
반면,48
지성,48
불륜,48
시험,48
항문,47
사안,47
숟가락,47
죄송,47
지역주의,47
순식간,47
도지사,47
영향,47
꼬리,47
주한,47
리더십,47
선심,47
지옥,47
산다,47
재미,47
주야,47
퇴근,47
출동,47
영혼,47
일정,47
사죄,47
전부,47
반장,47
중고,47
가계,47
축소,47
양강,47
판결,47
모욕,47
기반,47
잔당,47
방해,46
오죽,46
하니,46
부동산,46
해보면,46
대지,46
불구,46
된다,46
압력,46
사무실,46
지인,46
당신,46
잔치,46
부당,46
와우,46
신선,46
도전,46
그중,46
먼지,46
인과,46
신도,46
가지가지,45
외교부,45
강조,45
중단,45
결의안,45
정신병자,45
국가보안법,45
허허,45
행적,45
바리,45
오해,45
처단,45
시체,45
흐름,45
이재용,45
한나라당,45
한때,45
탈탈,45
완성,45
선생님,45
비롯,45
로맨스,45
경기,44
연령,44
금강산,44
건설,44
한방,44
이틀,44
지속,44
디스,44
앞날,44
여기저기,44
눈앞,44
베가,44
한참,44
다이,44
정동영,44
내면,44
국무당,44
아기,44
주가,44
장애인,44
굳건,44
규모,44
수단,44
손가락,44
골수,44
아픔,44
지리,44
공화국,44
수령,44
위선,43
논쟁,43
우려,43
견제,43
좌익,43
이중성,43
수장,43
도리,43
조원진,43
고시,43
강남,43
할아버지,43
부역,43
박살,43
쥐새끼,43
콩밥,43
환장,43
구입,43
결국,43
머릿속,43
여부,42
왕자,42
요가,42
가난,42
지출,42
기만,42
추모,42
문서,42
근본,42
포인트,42
잡기,42
변태,42
최저임금,42
내수,42
균형,42
변호,42
법률,42
용어,42
세습,42
최초,42
하청,42
중립,42
성범죄,42
좀비,42
천재,42
인척,42
자주국방,42
생각하는,42
비례,41
빈소,41
비하,41
당사자,41
눈알,41
기초,41
따뜻,41
기계,41
아들딸,41
