단어,빈도수
걸레,112
유리,111
며칠,111
공략,111
떳떳,111
임금,111
분위기,111
개판,111
개선,110
결론,110
친북,110
흑색선전,109
고용,109
강철,109
대책,109
정은,109
묘소,109
기분,108
마인드,108
힐러리,108
창피,108
상태,108
참모,108
철회,108
추진,108
임용,107
대권,107
구글,107
여기저기,107
사이,107
한때,106
전형,106
작전,106
싶다,106
보소,106
신념,106
금태섭,106
최근,106
어른,106
사장,106
신문,105
억지,105
설득,105
파악,104
해주시,104
연설,104
막판,104
일부,104
기술,104
실체,104
확신,104
변명,104
구체,104
구걸,104
이행,104
중심,104
건강,103
체제,103
감동,103
자산,103
신기,103
분명,103
어린이,103
공주,103
형님,103
병신,103
실천,102
자제,102
유일한,102
동생,102
신고,102
금지,102
의료,102
조장,102
독재,102
철저,102
사상,102
전체,101
의정,101
거부,101
권한,101
상임위,101
지적,101
추천,101
척결,101
분노,100
반복,100
체크,100
착각,100
달님,100
권리,100
이여,100
방지법,100
개헌,100
포스코,100
인상,100
핵심,99
외국,99
실현,99
개념,99
간첩,99
내부,99
탈당,99
배포,99
30대,98
문화,98
징글,98
의전,97
바이러스,97
이든,97
남성,97
철학,97
경북,97
5년,97
대처,97
강성,97
방향,96
이탈,96
지징,96
수치,96
차원,96
진행,96
사돈,96
피해,96
부정부패,96
식용,96
우병우,96
지역감정,95
이장,95
대안,95
최소,95
고집,95
전문,95
근본,95
미세먼지,95
기반,95
가부,95
자강,95
광주,94
수석,94
대변인,94
문서,94
초등,94
입사,94
사표,94
반기문,94
진영,94
리더십,94
노예,94
해소,94
의문,93
말발,93
일관,93
아기,93
대변,93
목숨,93
행보,93
그놈,93
배신,93
합당,93
소중,93
학부모,92
동물,92
인기,92
업적,92
동문서답,92
개그맨,92
의무,92
분야,92
예산,92
등록금,92
발행,92
엉터리,92
노동,92
대비,91
죄송,91
문자,91
연장,91
한계,91
지시,91
성적,91
정의당,91
플랜,91
실세,91
가도,90
주도,90
행태,90
아들딸,90
해외,90
계파,90
정치가,90
솔직,89
언급,89
덩어리,89
차량,89
말싸움,89
햇볕정책,89
한쪽,89
아동,88
평소,88
물타기,88
사용,88
국내,88
짐승,88
덕분,88
경남,88
상관,88
북괴,88
공립,87
특권,87
트집,87
포스터,87
유체,87
비서실장,87
탄생,87
비서,87
도전,87
투자,87
무지,86
목적,86
용서,86
남편,86
동영상,86
증여,86
해달,86
에선,86
미개,86
오만,86
평화,86
소득,86
묘역,86
다행,86
양자,86
위원회,86
가식,86
혼란,86
지난번,86
원칙,85
숫자,85
미친놈,85
소문,85
효과,85
작업,84
극우,84
가슴,84
부역자,84
갈등,84
친일,84
혐오,84
선생님,84
카이스트,84
의도,84
설치,83
아파트,83
검사,83
참신,83
인구,83
우선,83
통일,83
아라,83
창출,82
프리,82
불가,82
민주화,82
환경,82
상승,82
돌파,82
단어,82
천재,82
민정,82
언론사,82
와이프,82
이면,82
놀이,82
퇴직금,81
코미디,81
패배,81
아비,81
직업,81
지자,81
아줌마,80
당일,80
연합,80
군가,80
표본,80
먹거리,80
폭탄,80
깔끔,80
기동대,80
교사,79
김무성,79
저축,79
장사,79
계승,79
취직,79
객관,79
뿌리,79
인격,79
상대로,78
인식,78
계획,78
범죄,78
공생,78
시위,78
정면,78
아바,78
참고,78
측근,78
도배,77
행위,77
이민,77
연봉,77
거래,77
주인,77
특검,77
방지,77
확정,77
화법,77
공작,76
부동산,76
처리,76
아침,76
완주,76
제외,76
회의,76
황제,76
10년,76
안보관,76
지만,76
비정규직,76
방문,75
적대,75
화가,75
연구,75
부활,75
가관,75
연금,75
엄지,75
자연,75
유아,75
정유,75
존중,74
송민순,74
꼼수,74
거대,74
지식,74
조심,74
공식,74
모르나,74
변호사,74
대구경북,73
문안,73
연출,73
사형,73
정동영,73
가난,73
부사장,73
다수,73
달빛,73
남녀,73
스타일,73
협상,73
가니,73
공직자,72
낭비,72
사전,72
졸업,72
능구렁이,72
지지도,72
지사,72
리다,72
식비,72
점령,72
아저씨,71
미달,71
반박,71
좌표,71
지향,71
제한,71
든든,71
충격,71
청문회,71
시점,71
스스로,71
무덤,71
아르바이트,70
국제,70
민노총,70
카페,70
생활비,70
항의,70
각종,70
제안,70
국방,70
양파,70
호화,70
최대,70
성실,70
옹호,70
근무,70
오보,69
끔찍,69
무리,69
프로그램,69
주가,69
몰표,69
오해,69
벌금,69
북풍,69
재원,69
만도,69
조갑제,69
기업가,69
안고,69
종교,69
개정안,69
유력,69
하나로,68
질도,68
명확,68
냄새,68
한방,68
시스템,68
포털,68
영남,68
지방,68
본질,68
논문,68
대형,68
카드,68
중대,68
형사,68
노릇,67
청소,67
폐가,67
리얼,67
이지,67
오바마,67
통계,67
약자,66
파리,66
당황,66
한반도,66
치졸,66
목표,66
마련,66
과학,66
남부,66
광화문,66
남한,66
장점,66
사업가,66
아악,66
허구,66
명분,66
조교,65
똥줄,65
대학원,65
말라,65
영화,65
대중,65
반전,65
인과,65
반면,65
태극기,65
코리아,65
몰이,65
성격,65
할머니,64
요청,64
조용,64
현재,64
시즌,64
확률,64
재정,64
추가,64
하락,64
밥값,64
양강,64
오차,64
예측,64
표절,64
명예,64
황교안,64
기업인,64
방산,63
이슈,63
민영화,63
애국,63
휴직,63
보호,63
재수,63
멍청이,63
스펙,63
공세,63
이성,63
미군,63
대사,63
개뿔,63
상처,63
업체,63
안심,63
충분,62
악의,62
자칭,62
아니,62
지능,62
치매,62
조롱,62
실시간,62
검색어,62
외면,62
만세,62
인간성,62
오지,62
염병,62
계산,62
대인,62
베스트,62
퇴진,62
고개,62
이사,62
아래,62
