단어,빈도수
대책,24
이도,24
복귀,24
데모,24
뇌물,24
그간,24
기회주의자,23
전라도,23
전교조,23
양성평등,23
거부,23
녹취록,23
기반,23
청약,23
합법,23
퍼센트,23
마찬가지,23
보기,23
백신,23
답변,23
공장,23
나중,23
사담,23
만도,23
잠적,23
최소,23
노인,23
다당제,23
보리,23
리지,23
통학로,23
불평등,23
특검,23
강요,23
심사숙고,23
몰락,23
소속,23
다자,23
행위,23
폭등,23
학생,23
대중,22
출근,22
하든,22
개발,22
남은,22
추구,22
구속,22
세월호,22
한참,22
정확,22
이여,22
산다,22
복지부,22
군소,22
도둑,22
광주,22
최저임금,22
신지,22
소외,22
금지,22
기존,22
억지,22
조선,22
건강,22
국정,22
후보자,22
가자,22
해서,22
경쟁,22
위안부,22
사죄,22
지구,22
화장실,22
태도,22
최선,22
여사,22
패스,22
아라,22
전문,21
적극,21
통진,21
변경,21
기여,21
하니,21
이참,21
개미,21
자녀,21
이용만,21
위기,21
다운,21
득표,21
나머지,21
사용,21
5년,21
내세,21
공산,21
현재,21
협박,21
하사,21
집구석,21
더불어민주당,21
선진국,21
멍청이,21
공신,21
스스로,21
대우,21
고집,21
변질,21
나락,21
자식들,21
제시,21
사이비,21
지원금,21
눈물,21
아니,21
불가,21
출산,21
통수,21
처리,21
보전,21
초등학생,21
발악,21
조롱,21
거래,20
흐름,20
방식,20
구멍,20
알바,20
유리,20
부가,20
경험,20
종자,20
정의도,20
부하,20
동맹,20
젊은이들,20
말라,20
존중,20
행사,20
한쪽,20
오만,20
최근,20
저번,20
법원,20
투기,20
상태,20
선거철,20
콩고물,20
정리,20
불공,20
확인,20
공작,20
고물,20
실현,20
내면,20
수작,20
식상,20
불리,20
역대,20
핑계,20
사이,20
놀이,20
합리,20
편향,20
자유민주주의,20
철학,20
주가조작,20
포퓰리즘,19
머저리,19
탄핵,19
신념,19
통학,19
예상,19
전형,19
성향,19
지적,19
마련,19
의문,19
폭력,19
이동,19
징병제,19
동조,19
장사,19
무지,19
공화국,19
주택자,19
각종,19
마인드,19
얄팍,19
괴물,19
기간,19
무리,19
보상,19
자칭,19
집중,19
박살,19
평소,19
가지가지,19
토사,19
김정은,19
마스크,19
인척,19
횡포,19
등록,19
지난번,19
정신병자,19
들러리,19
이사,19
지도자,19
부패,19
악마,19
유감,19
의지,19
심술,19
실드,19
된장,19
정직,19
특정,19
결론,19
불만,19
악질,19
한일,19
싶다,19
마나,18
노무현,18
연기,18
이든,18
찬양,18
기분,18
최순,18
사형,18
환경,18
철새,18
신고,18
고속도로,18
기차,18
중학교,18
본색,18
공짜,18
열악,18
뿌리,18
개선,18
판결,18
이기,18
석이,18
발리,18
이정희,18
가증,18
의혹,18
언행,18
제외,18
사표,18
취업,18
불과,18
감정,18
도시,18
동참,18
우크라이나,18
위협,18
앞잡이,18
비하,18
네거티브,18
잠재,18
망신,18
인해,18
방송사,18
보고,18
유출,18
지리,18
여자도,17
추진,17
언급,17
계획,17
패션쇼,17
연명,17
노래,17
판사,17
안중,17
상대방,17
무용,17
가슴,17
병역,17
리다,17
배려,17
회복,17
중도,17
재수,17
순위,17
분석,17
연합,17
극단,17
시공사,17
작년,17
경력,17
아바타,17
분명,17
